"source_group","source_path","line","timestamp_utc","token","classification","exclude_reason","confidence","address_candidates","symbol_hints"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","42",,"0x830E88","new-candidate",,"medium","830E88;430E88;C30E88",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2474",,"0x00D2CACC","new-candidate",,"medium","D2CACC;92CACC;112CACC",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","144",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","34",,"0xF2FF1C","new-candidate",,"medium","F2FF1C;B2FF1C;132FF1C",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","237",,"0xD2A9D8","new-candidate",,"medium","D2A9D8;92A9D8;112A9D8",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","27",,"0xD37B7C","new-candidate",,"medium","D37B7C;937B7C;1137B7C",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","239",,"FUN_00A459E0","new-candidate",,"medium","A459E0;6459E0;E459E0","FUN_00a459e0;__addr_FUN_00a459e0;FUN_00A459E0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","914",,"0x88F7D0","new-candidate",,"medium","88F7D0;48F7D0;C8F7D0","FhUtil"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","48",,"0xF25A80","new-candidate",,"medium","F25A80;B25A80;1325A80",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","80",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","591",,"FUN_008A8EF0","new-candidate",,"medium","8A8EF0;4A8EF0;CA8EF0","FUN_008a8ef0;FUN_008A8EF0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","336",,"FUN_00A48E40","new-candidate",,"medium","A48E40;648E40;E48E40","FUN_00a48e40;FUN_00A48E40"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","869",,"0x00D321A8","new-candidate",,"medium","D321A8;9321A8;11321A8",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","5136",,"0xD35F08","new-candidate",,"medium","D35F08;935F08;1135F08",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","547",,"FUN_00A598A0","new-candidate",,"medium","A598A0;6598A0;E598A0","FUN_00a598a0;FUN_00A598A0"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","210",,"0xD32240","new-candidate",,"medium","D32240;932240;1132240",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","418",,"0x4B9E60","new-candidate",,"medium","4B9E60;B9E60;8B9E60","__addr_FUN_008b9e60"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","76",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","5218",,"0xD35F16","new-candidate",,"medium","D35F16;935F16;1135F16",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","49",,"FUN_00A59710","new-candidate",,"medium","A59710;659710;E59710","FUN_00a59710;FUN_00A59710"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1209",,"0x00D322E7","new-candidate",,"medium","D322E7;9322E7;11322E7",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","894",,"0x01F05814","new-candidate",,"medium","1F05814;1B05814;2305814","FhUtil"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","129",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/sphere_grid.py","27",,"0x12BE93C","new-candidate",,"medium","12BE93C;EBE93C;16BE93C",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/Character7-693244e13fb825c5.cs","76",,"0x3B10D0","new-candidate",,"medium","3B10D0;7B10D0",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","4559",,"0x00D35EE3","new-candidate",,"medium","D35EE3;935EE3;1135EE3",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3149",,"0xD2E49A","new-candidate",,"medium","D2E49A;92E49A;112E49A",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","264",,"0x65B930","new-candidate",,"medium","65B930;25B930;A5B930","__addr_FUN_00a5b930"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","887",,"0x1685F74","new-candidate",,"medium","1685F74;1285F74;1A85F74","FhUtil"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","141",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","235",,"0xD2A9D7","new-candidate",,"medium","D2A9D7;92A9D7;112A9D7",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","291",,"FUN_00A47C60","new-candidate",,"medium","A47C60;647C60;E47C60","FUN_00a47c60;__addr_FUN_00a47c60;FUN_00A47C60"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","713",,"FUN_00A5B7B0","new-candidate",,"medium","A5B7B0;65B7B0;E5B7B0","FhMethodHandle;FUN_00a5b7b0;__addr_FUN_00a5b7b0;FUN_00A5B7B0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","482",,"FUN_00A47F00","new-candidate",,"medium","A47F00;647F00;E47F00","FUN_00a47f00;FUN_00A47F00"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3186",,"0xD32415","new-candidate",,"medium","D32415;932415;1132415",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2701",,"0x01640030","new-candidate",,"medium","1640030;1240030;1A40030",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2550",,"0xD2CE90","new-candidate",,"medium","D2CE90;92CE90;112CE90",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","850",,"0x00D32234","new-candidate",,"medium","D32234;932234;1132234",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3160",,"0xD322FC","new-candidate",,"medium","D322FC;9322FC;11322FC",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2517",,"0x003AB9B0","new-candidate",,"medium","3AB9B0;7AB9B0",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","378",,"0x649270","new-candidate",,"medium","649270;249270;A49270","__addr_FUN_00a49270"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1147",,"0x00D2C8A8","new-candidate",,"medium","D2C8A8;92C8A8;112C8A8",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2417",,"0x00A00140","new-candidate",,"medium","A00140;600140;E00140",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","107",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","89",,"FUN_00A5BAD0","new-candidate",,"medium","A5BAD0;65BAD0;E5BAD0","FUN_00a5bad0;FUN_00A5BAD0"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","821",,"0x008A8700","new-candidate",,"medium","8A8700;4A8700;CA8700",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","649",,"FUN_00A5B930","new-candidate",,"medium","A5B930;65B930;E5B930","FhUtil;FUN_00a5b930;__addr_FUN_00a5b930;FUN_00A5B930"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","506",,"0x00F3D1C0","new-candidate",,"medium","F3D1C0;B3D1C0;133D1C0",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2102",,"0x00CD0030","new-candidate",,"medium","CD0030;8D0030;10D0030",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3065",,"0x00D3761C","new-candidate",,"medium","D3761C;93761C;113761C",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/Character7-693244e13fb825c5.cs","31",,"FUN_00635C20","new-candidate",,"medium","635C20;235C20;A35C20","FUN_00635c20;FUN_00635C20"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","203",,"0xD321A8","new-candidate",,"medium","D321A8;9321A8;11321A8",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","165",,"0xD2A9D5","new-candidate",,"medium","D2A9D5;92A9D5;112A9D5",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","531",,"FUN_00A57F80","new-candidate",,"medium","A57F80;657F80;E57F80","FhMethodHandle;FUN_00a57f80;FUN_00A57F80"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2476",,"0x01000040","new-candidate",,"medium","1000040;C00040;1400040",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","4064",,"0x01467A84","new-candidate",,"medium","1467A84;1067A84;1867A84",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2608",,"0x00F25A80","new-candidate",,"medium","F25A80;B25A80;1325A80",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","699",,"FUN_00A49590","new-candidate",,"medium","A49590;649590;E49590","FhMethodHandle;FUN_00a49590;__addr_FUN_00a49590;FUN_00A49590"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1873",,"0x01440A48","new-candidate",,"medium","1440A48;1040A48;1840A48",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/ATBFillHandlerVanilla-2cf81b2c908c1473.cs","66",,"0x634B00","new-candidate",,"medium","634B00;234B00;A34B00",""
"discord-compact",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json",,,"FUN_007B10D0","new-candidate",,"medium","7B10D0;3B10D0;BB10D0","FUN_007b10d0;FUN_007B10D0"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3405",,"0x00D30F2C","new-candidate",,"medium","D30F2C;930F2C;1130F2C",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","620",,"FUN_00A5A800","new-candidate",,"medium","A5A800;65A800;E5A800","FhUtil;FUN_00a5a800;__addr_FUN_00a5a800;FUN_00A5A800"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","367",,"0x6563B0","new-candidate",,"medium","6563B0;2563B0;A563B0","__addr_FUN_00a563b0"
"discord-compact",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/22 - fahrenheit-dev (1340460420477222923).json",,,"0x652B60","new-candidate",,"medium","652B60;252B60;A52B60","FhMethodLocation"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","300",,"0x14408AC","new-candidate",,"medium","14408AC;10408AC;18408AC",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","35",,"0xD2CA92","new-candidate",,"medium","D2CA92;92CA92;112CA92",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","93",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","891",,"0x16860F0","new-candidate",,"medium","16860F0;12860F0;1A860F0","FhUtil"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","257",,"0xD2CB61","new-candidate",,"medium","D2CB61;92CB61;112CB61",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","134",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","242",,"0xF25AB3","new-candidate",,"medium","F25AB3;B25AB3;1325AB3",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","926",,"0x00D307E9","new-candidate",,"medium","D307E9;9307E9;11307E9",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","109",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Components/Transition.cs","727",,"0xD32080","new-candidate",,"medium","D32080;932080;1132080",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","229",,"0xD32518","new-candidate",,"medium","D32518;932518;1132518",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","3297",,"0x6452D0","new-candidate",,"medium","6452D0;2452D0;A452D0","FhUtil"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3076",,"0x00D37690","new-candidate",,"medium","D37690;937690;1137690",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","158",,"0xF26AE8","new-candidate",,"medium","F26AE8;B26AE8;1326AE8",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1850",,"0x0021D09A4","new-candidate",,"medium","21D09A4;1DD09A4;25D09A4",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","679",,"FUN_008B9E60","new-candidate",,"medium","8B9E60;4B9E60;CB9E60","FhUtil;FUN_008b9e60;__addr_FUN_008b9e60;FUN_008B9E60"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/ATBFillHandlerVanilla-2cf81b2c908c1473.cs","131",,"0x9F8814","new-candidate",,"medium","9F8814;5F8814;DF8814","FhUtil"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","311",,"0x8E82A4","new-candidate",,"medium","8E82A4;4E82A4;CE82A4",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","473",,"0x00F3CA01","new-candidate",,"medium","F3CA01;B3CA01;133CA01",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/X2TurnBased_module-e30181b1a2a3f1d5.cs","45",,"0xDF8817","new-candidate",,"medium","DF8817;9F8817;11F8817",""
"discord-compact",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json",,,"0x1CD2","new-candidate",,"medium","1CD2;401CD2","AtelOp"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","316",,"0x65ACA0","new-candidate",,"medium","65ACA0;25ACA0;A5ACA0","__addr_FUN_00a5aca0"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","36",,"0xD27C88","new-candidate",,"medium","D27C88;927C88;1127C88",""
